文件名	非TF概率	TF概率	预测类别
A2A8L1	0.9188	0.0812	0
A2BI12	0.8200	0.1800	0
A2RSY1	0.4762	0.5238	1
B1ARB9	0.9628	0.0372	0
B2RRL2	0.8576	0.1424	0
O08664	0.2262	0.7738	1
O08760	0.9590	0.0410	0
O35207	0.6940	0.3060	0
O35317	0.0092	0.9908	1
O35343	0.9547	0.0453	0
O35344	0.9504	0.0496	0
O35980	0.9520	0.0480	0
O89064	0.9111	0.0889	0
O89091	0.0293	0.9707	1
P09021	0.0029	0.9971	1
P09632	0.0053	0.9947	1
P11276	0.8226	0.1774	0
P20615	0.0028	0.9972	1
P25916	0.2316	0.7684	1
P28033	0.0521	0.9479	1
P41778	0.0096	0.9904	1
P42128	0.0373	0.9627	1
P42586	0.0025	0.9975	1
P47955	0.8743	0.1257	0
P48377	0.5849	0.4151	0
P48381	0.4468	0.5532	1
P53566	0.0315	0.9685	1
P60824	0.7877	0.2123	0
P62309	0.9464	0.0536	0
P70168	0.9460	0.0540	0
P70261	0.9533	0.0467	0
P70396	0.0016	0.9984	1
P70397	0.0139	0.9861	1
P70662	0.5269	0.4731	0
P84244	0.8518	0.1482	0
P97302	0.6981	0.3019	0
P97351	0.9259	0.0741	0
P97801	0.7092	0.2908	0
P99027	0.7467	0.2533	0
Q04841	0.9547	0.0453	0
Q05920	0.9872	0.0128	0
Q0P5W9	0.7688	0.2312	0
Q2MHN3	0.1519	0.8481	1
Q2VPQ3	0.0299	0.9701	1
Q3U288	0.0341	0.9659	1
Q3UCQ1	0.0231	0.9769	1
Q3UH06	0.0283	0.9717	1
Q3ULD5	0.9852	0.0148	0
Q4VBD9	0.0252	0.9748	1
Q571B1	0.3989	0.6011	1
Q571D3	0.4658	0.5342	1
Q5F293	0.0410	0.9590	1
Q5NDA4	0.8652	0.1348	0
Q5SWU9	0.9599	0.0401	0
Q60793	0.0183	0.9817	1
Q60843	0.0332	0.9668	1
Q60865	0.4413	0.5587	1
Q60954	0.0119	0.9881	1
Q60980	0.0172	0.9828	1
Q61043	0.9210	0.0790	0
Q61171	0.9680	0.0320	0
Q61329	0.2167	0.7833	1
Q62093	0.8825	0.1175	0
Q64317	0.0019	0.9981	1
Q6PD29	0.0154	0.9846	1
Q6PDQ2	0.9151	0.0849	0
Q6ZQ88	0.8010	0.1990	0
Q6ZWQ9	0.7987	0.2013	0
Q7TNK1	0.2945	0.7055	1
Q80TG1	0.5381	0.4619	0
Q80WC1	0.1419	0.8581	1
Q80YQ2	0.9533	0.0467	0
Q811S7	0.7035	0.2965	0
Q8BG67	0.9359	0.0641	0
Q8BIH0	0.3407	0.6593	1
Q8BM75	0.7571	0.2429	0
Q8BN78	0.0341	0.9659	1
Q8BPP1	0.9286	0.0714	0
Q8BV49	0.8404	0.1596	0
Q8C0I4	0.4638	0.5362	1
Q8C6P8	0.0367	0.9633	1
Q8C796	0.6316	0.3684	0
Q8C8M1	0.8571	0.1429	0
Q8CAV3	0.8914	0.1086	0
Q8CCJ9	0.6441	0.3559	0
Q8CHY6	0.4848	0.5152	1
Q8R0A2	0.0432	0.9568	1
Q8R1F9	0.9555	0.0445	0
Q8R326	0.9045	0.0955	0
Q8VCG9	0.7368	0.2632	0
Q8VDF2	0.7958	0.2042	0
Q8VDG3	0.7184	0.2816	0
Q8VHR5	0.5329	0.4671	0
Q91WT4	0.9278	0.0722	0
Q91YJ3	0.8872	0.1128	0
Q923D4	0.8587	0.1413	0
Q924K8	0.6032	0.3968	0
Q99J79	0.9522	0.0478	0
Q99LC2	0.9611	0.0389	0
Q99PU7	0.7077	0.2923	0
Q9CQA5	0.7510	0.2490	0
Q9CQE6	0.8832	0.1168	0
Q9CQL1	0.9375	0.0625	0
Q9CXE2	0.2069	0.7931	1
Q9CXK8	0.9506	0.0494	0
Q9CYA6	0.6036	0.3964	0
Q9D1M1	0.7727	0.2273	0
Q9D5D8	0.9523	0.0477	0
Q9D5V5	0.9103	0.0897	0
Q9D8C6	0.8409	0.1591	0
Q9DAS9	0.8367	0.1633	0
Q9ERA0	0.9109	0.0891	0
Q9JIX0	0.8492	0.1508	0
Q9JJN2	0.2452	0.7548	1
Q9JKP7	0.9084	0.0916	0
Q9NWG9	0.8647	0.1353	0
Q9QWH1	0.2647	0.7353	1
Q9QX96	0.0417	0.9583	1
Q9QXA5	0.9539	0.0461	0
Q9R190	0.3057	0.6943	1
Q9WTX8	0.8705	0.1295	0
Q9WVA3	0.9567	0.0433	0
Q9Z0P4	0.7734	0.2266	0
Q9Z0Z7	0.0447	0.9553	1
Q9Z205	0.8251	0.1749	0
Q9Z2D6	0.6275	0.3725	0
Q9Z2D7	0.7711	0.2289	0
Q9Z2E1	0.4392	0.5608	1
Q9Z2E2	0.6142	0.3858	0
